feature,label
3.6146,0
1.1892,0
1.7391,0
-0.8674,1
-0.6907,1
0.0625,0
0.0336,1
0.0565,1
1.5701,1
-0.7812,1
-0.5333,1
-1.5291,0
0.2584,0
0.6514,0
-0.0044,1
-0.3431,0
1.1155,0
0.4166,0
-1.2402,0
-0.8432,1
1.5336,0
1.438,0
-0.7627,1
-0.7107,1
0.4499,0
1.522,1
-1.1838,1
0.9089,1
-0.6744,0
1.5273,0
-3.475,0
0.9322,0
-1.1544,0
-0.2782,1
1.5066,1
-1.3995,1
1.0376,1
1.5849,0
-0.6276,0
-1.1062,0
-0.1906,0
2.0912,1
-0.1363,1
0.6741,0
-0.7493,1
-1.8089,1
1.6024,0
-1.0841,1
0.1436,1
-0.2637,0
